Cepheid	logP	F555W	sigma555W	F814W	sigma814W	F160W	sigma160W	${m}_{H}^{W}$	sigma	[Fe/H]	pi_R16	sigma_piR16	pi_EDR3	sigma_piEDR3	
AA-GEM	1.053	9.9130	0.029	8.542	0.025	7.348	0.017	6.860	0.023	-0.080	0.259	0.008	0.311	0.019	
AD-PUP	1.133	10.015	0.028	8.675	0.023	7.488	0.020	7.011	0.024	-0.060	0.214	0.006	0.254	0.018	
AQ-CAR	0.990	8.9836	0.020	7.854	0.009	6.766	0.007	6.373	0.011	0.013	0.354	0.010	0.361	0.017	
AQ-PUP	1.479	8.8671	0.018	7.120	0.014	5.487	0.013	4.859	0.016	0.060	0.340	0.010	0.294	0.025	
BK-AUR	0.903	9.5609	0.036	8.220	0.038	7.015	0.021	6.539	0.029	0.070	0.371	0.011	0.426	0.016	
BN-PUP	1.136	10.051	0.033	8.505	0.017	7.198	0.015	6.642	0.021	0.030	0.251	0.007	0.301	0.016	
CD-CYG	1.232	9.1207	0.011	7.468	0.012	5.900	0.012	5.307	0.014	0.120	0.398	0.011	0.394	0.018	
CP-CEP	1.252	10.757	0.015	8.638	0.052	6.871	0.022	6.095	0.030	0.050	0.270	0.008	0.279	0.022	
CR-CAR	0.989	11.750	0.019	9.973	0.018	8.384	0.014	7.736	0.017	-0.080	0.190	0.005	0.194	0.016	
DD-CAS	0.992	10.036	0.007	8.523	0.011	7.108	0.012	6.566	0.013	0.160	0.319	0.009	0.346	0.014	
DR-VEL	1.049	9.7083	0.034	7.770	0.020	6.183	0.021	5.479	0.026	0.024	0.488	0.015	0.520	0.015	
GQ-ORI	0.935	8.7199	0.020	7.632	0.024	6.523	0.032	6.146	0.034	0.250	0.418	0.013	0.408	0.023	
HW-CAR	0.964	9.2782	0.016	8.007	0.013	6.798	0.005	6.350	0.009	0.060	0.370	0.010	0.397	0.013	
KK-CEN	1.086	11.598	0.017	9.862	0.021	8.292	0.015	7.660	0.018	0.210	0.167	0.005	0.152	0.017	
KN-CEN	1.532	10.062	0.023	7.924	0.017	5.856	0.006	5.076	0.013	0.550	0.273	0.008	0.251	0.020	
RW-CAS	1.170	9.3719	0.021	7.863	0.016	6.483	0.022	5.944	0.024	0.280	0.322	0.010	0.334	0.021	
RY-CAS	1.084	10.075	0.019	8.333	0.040	6.715	0.010	6.085	0.020	0.320	0.342	0.010	0.359	0.016	
RY-SCO	1.308	8.2067	0.012	6.206	0.010	4.408	0.010	3.685	0.012	0.010	0.757	0.021	0.764	0.035	
RY-VEL	1.449	8.5234	0.036	6.757	0.016	5.211	0.017	4.576	0.023	0.090	0.403	0.012	0.376	0.023	
S-NOR	0.989	6.5779	0.011	5.410	0.012	4.391	0.012	3.990	0.014	0.100	1.054	0.030	1.099	0.024	
S-VUL^g	1.839	9.1668	0.008	6.862	0.012	4.885	0.010	4.043	0.011	0.090	0.287	0.008	0.237	0.022	
SS-CMA	1.092	10.121	0.012	8.444	0.008	6.894	0.011	6.289	0.012	0.012	0.315	0.009	0.308	0.014	
SV-VEL	1.149	8.7316	0.026	7.302	0.009	6.024	0.010	5.517	0.015	0.090	0.411	0.012	0.434	0.019	
SV-VUL^g	1.653	7.2675	0.047	5.648	0.033	4.214	0.027	3.639	0.035	0.110	0.457	0.015	0.402	0.023	
SZ-CYG	1.179	9.6209	0.013	7.756	0.017	6.004	0.008	5.329	0.012	0.150	0.426	0.012	0.445	0.014	
T-MON	1.432	6.0680	0.023	4.828	0.016	3.725	0.021	3.298	0.024	0.040	0.749	0.022	0.745	0.057	
U-CAR	1.589	6.3852	0.038	4.967	0.023	3.768	0.019	3.272	0.026	0.250	0.589	0.018	0.561	0.025	
UU-MUS	1.066	9.9212	0.024	8.457	0.025	7.108	0.010	6.584	0.017	0.190	0.282	0.008	0.306	0.013	
V-339-CEN	0.976	8.8402	0.024	7.321	0.016	5.990	0.024	5.448	0.026	-0.080	0.557	0.017	0.568	0.023	
V-340-ARA	1.318	10.460	0.024	8.554	0.014	6.808	0.012	6.115	0.016	-0.080	0.245	0.007	0.239	0.022	
VW-CEN	1.177	10.379	0.031	8.718	0.023	7.158	0.010	6.558	0.018	0.410	0.238	0.007	0.260	0.017	
VX-PER	1.037	9.4589	0.008	7.906	0.006	6.470	0.009	5.914	0.010	0.030	0.407	0.011	0.392	0.019	
VY-CAR	1.276	7.6162	0.014	6.253	0.007	4.991	0.004	4.513	0.007	0.080	0.539	0.015	0.565	0.018	
VZ-PUP	1.365	9.7715	0.033	8.262	0.022	6.931	0.017	6.390	0.023	-0.010	0.200	0.006	0.220	0.016	
